Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,tenure_group,avg_charges,total services,engagement_score,charge_ratio
0,0,0,2,1,1,53.85,108.15,1,86,3239,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36.050000000000004,2,4,0.4933577645442052
0,0,1,2,1,1,70.7,151.65,1,67,2701,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,50.550000000000004,0,2,0.46315099901735995
0,0,1,8,1,1,99.65,820.5,1,86,5372,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,91.16666666666667,3,5,0.12130249543517956
0,1,1,28,1,1,104.8,3046.05,1,84,5003,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,3,105.03620689655173,4,8,0.03439392199012159
0,0,1,49,1,1,103.7,5036.3,1,89,5340,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,4,100.726,4,9,0.020586425267504416
0,1,0,10,1,0,55.2,528.35,1,78,5925,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,48.03181818181818,2,3,0.10427883253046188
1,0,0,1,0,1,39.65,39.65,1,100,5433,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,19.825,2,4,0.97539975399754
0,0,0,1,1,0,20.15,20.15,1,92,4832,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,10.075,0,1,0.9527186761229315
0,1,1,47,1,1,99.35,4749.15,1,77,5789,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,3,98.940625,3,7,0.020915128995926444
0,1,0,1,0,0,30.2,30.2,1,97,2915,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15.1,1,2,0.967948717948718
0,0,0,17,1,1,64.7,1093.1,1,74,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,60.727777777777774,2,5,0.05913536239831826
0,0,1,5,1,1,69.7,316.9,1,66,2454,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,52.81666666666666,0,2,0.21925133689839574
0,0,1,34,1,1,106.35,3549.25,1,65,2941,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,3,101.40714285714286,4,8,0.02995563692697697
0,0,1,11,1,1,97.85,1105.4,1,70,5674,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,92.11666666666667,3,5,0.08843998553868401
0,0,1,2,1,1,80.65,144.15,1,90,5586,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,48.050000000000004,1,3,0.555632104719256
0,0,1,15,1,1,99.1,1426.4,1,82,2966,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,89.15,4,7,0.06942693008266777
1,1,1,8,1,1,80.65,633.3,1,69,5302,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,70.36666666666666,1,3,0.12714803720636925
1,0,1,18,1,1,95.45,1752.55,1,81,3179,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,92.23947368421052,2,5,0.05443243705625731
0,0,1,9,1,0,94.4,857.25,1,96,5571,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,85.725,2,3,0.10999126128750365
0,0,1,1,1,1,79.35,79.35,1,87,2483,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,39.675,1,3,0.9875544492843809
0,1,1,7,1,1,75.15,496.9,1,70,3457,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,62.1125,1,3,0.15093392247439247
0,0,1,12,1,1,78.95,927.35,1,86,5806,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,71.33461538461539,1,3,0.0850433564927021
0,0,0,5,1,0,21.05,113.85,1,66,2604,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,18.974999999999998,0,1,0.18328254244666958
1,1,1,25,1,1,98.5,2514.5,1,88,5337,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,3,96.71153846153847,4,8,0.03915722520373683
0,1,0,68,1,1,110.0,7611.85,1,86,5034,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,4,110.31666666666668,5,10,0.014449253564696531
0,1,1,55,1,1,96.75,5238.9,1,75,5154,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,93.55178571428571,3,8,0.018464092826198975
1,1,1,37,1,1,76.5,2868.15,1,67,2793,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,75.47763157894737,0,4,0.026662948957008173
0,1,1,10,1,1,100.25,1064.65,1,87,5998,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,96.78636363636365,3,5,0.09407403931872566
0,0,1,3,1,1,74.4,229.55,1,76,4415,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,57.3875,0,2,0.32270657124268054
1,0,1,27,1,1,78.05,2135.5,1,95,4638,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,76.26785714285714,1,5,0.03653171074186754
0,1,0,25,0,1,58.6,1502.65,1,99,4190,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,57.79423076923077,5,9,0.03897183520101087
0,0,0,1,0,1,35.45,35.45,1,80,2301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,17.725,1,3,0.9725651577503429
0,0,0,2,1,0,44.35,81.25,1,76,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,27.083333333333332,0,1,0.539209726443769
1,1,1,1,1,1,70.45,70.45,1,76,3964,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35.225,0,2,0.9860041987403779
0,0,0,8,1,0,71.15,563.65,1,66,2662,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,62.62777777777777,3,4,0.12600726113521651
0,0,0,1,1,1,45.65,45.65,1,73,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,22.825,0,2,0.9785637727759914
0,0,1,7,1,0,95.0,655.5,1,94,2786,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,81.9375,2,3,0.1447067783701447
0,1,1,20,1,0,82.4,1592.35,1,86,5719,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,75.82619047619048,1,3,0.05171494022029059
0,0,1,4,1,1,70.9,273.0,1,75,4287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.6,0,2,0.2587591240875913
